id,"name","code",isBan,level,sort,"description"
303,"宁德时代","",0,0,0,""
304,"华友钴业","",0,0,1,""
305,"比亚迪","",0,0,2,""
306,"亿纬锂能","",0,0,4,""
307,"赣锋锂业","",0,0,3,""
308,"璞泰来","",0,0,5,""
309,"隆基股份","",0,0,6,""
310,"恩捷股份","",0,0,7,""
311,"天赐材料","",0,0,8,""
312,"汇川技术","",0,0,9,""
313,"三一重工","",0,0,10,""
314,"新宙邦","",0,0,13,""
315,"天奈科技","",0,0,15,""
316,"阳光电源","",0,0,17,""
317,"长城汽车","",0,0,16,""
318,"福耀玻璃","",0,0,19,""
319,"士兰微","",0,0,18,""
320,"三花智控","",0,0,20,""
321,"天齐锂业","",0,0,21,""
322,"通威股份","",0,0,22,""
323,"中航光电","",0,0,11,""
324,"北方华创","",0,0,23,""
325,"中航沈飞","",0,0,14,""
326,"当升科技","",0,0,24,""
327,"容百科技","",0,0,27,""
328,"航发动力","",0,0,12,""
329,"先导智能","",0,0,30,""
330,"星源材质","",0,0,29,""
331,"宏发股份","",0,0,31,""
332,"欣旺达","",0,0,32,""
333,"立讯精密","",0,0,41,""
334,"卓胜微","",0,0,49,""
335,"雅化集团","",0,0,33,""
336,"振华科技","",0,0,28,""
337,"航天发展","",0,0,26,""
338,"韦尔股份","",0,0,34,""
339,"长安汽车","",0,0,35,""
340,"多氟多","",0,0,36,""
341,"万华化学","",0,0,37,""
342,"富满电子","",0,0,38,""
343,"紫金矿业","",0,0,39,""
344,"盛新锂能","",0,0,42,""
345,"中航西飞","",0,0,25,""
346,"东方雨虹","",0,0,44,""
347,"德赛电池","",0,0,43,""
348,"格林美","",0,0,46,""
349,"均胜电子","",0,0,47,""
350,"紫光国微","",0,0,48,""
351,"中科电气","",0,0,53,""
352,"歌尔股份","",0,0,52,""
353,"鲁西化工","",0,0,50,""
354,"星宇股份","",0,0,54,""
355,"洛阳钼业","",0,0,55,""
356,"晶澳科技","",0,0,56,""
357,"法拉电子","",0,0,57,""
358,"光威复材","",0,0,40,""
359,"鸿远电子","",0,0,59,""
360,"晶晨股份","",0,0,60,""
361,"长盈精密","",0,0,61,""
362,"杭可科技","",0,0,62,""
363,"金山办公","",0,0,66,""
364,"航天电器","",0,0,70,""
365,"中科创达","",0,0,63,""
366,"金蝶国际","",0,0,64,""
367,"腾讯控股","",0,0,65,""
368,"杉杉股份","",0,0,73,""
369,"东方财富","",0,0,87,""
370,"龙佰集团","",0,0,67,""
371,"石大胜华","",0,0,68,""
372,"晶盛机电","",0,0,77,""
373,"中国巨石","",0,0,69,""
374,"视源股份","",0,0,71,""
375,"恒力石化","",0,0,72,""
376,"中航高科","",0,0,51,""
